3.434, -5.877, 3
3.703, 1.330, 0
-5.697, -2.205, 2
2.944, 3.448, 1
2.697, 4.725, 1
3.426, 4.418, 1
4.390, 5.390, 1
3.976, 4.056, 1
3.998, 5.498, 1
-3.527, -1.198, 2
3.622, 6.136, 1
-4.792, -0.744, 2
-5.283, -6.848, 2
-1.831, -2.533, 2
-2.824, -1.122, 2
-5.108, -3.132, 2
-4.650, -1.997, 2
4.418, 5.938, 1
-3.882, -0.937, 2
5.115, 3.561, 1
1.673, 0.634, 0
5.441, 5.364, 1
-0.007, 2.927, 0
4.206, 4.568, 1
-5.256, -2.624, 2
-0.187, 3.755, 0
1.727, 2.113, 0
-2.400, -2.265, 2
-2.965, -1.046, 2
3.594, 1.353, 0
-0.588, -5.189, 2
-3.041, -4.317, 2
0.447, 1.951, 0
4.430, 5.558, 1
-1.540, -3.069, 2
1.731, 4.335, 0
0.065, 1.963, 0
-0.215, 0.590, 0
5.300, -3.086, 3
2.239, -4.670, 3
-4.943, -4.757, 2
-2.092, -5.391, 2
5.521, -4.318, 3
-5.839, -2.781, 2
1.825, 5.181, 1
2.290, -4.346, 3
1.796, 4.699, 1
6.881, 5.297, 1
-5.547, -4.811, 2
-0.621, 1.604, 0
-0.443, -0.126, 0
-3.610, -3.755, 2
3.272, -2.902, 3
4.236, 5.059, 1
-3.781, -3.054, 2
-5.298, -3.121, 2
-3.552, -2.865, 2
3.818, -4.308, 3
3.572, -3.766, 3
-2.934, -2.433, 2
-5.770, -5.819, 2
-5.097, -2.142, 2
3.590, 3.629, 1
-6.270, -4.359, 2
5.227, 6.379, 1
-5.694, -2.427, 2
2.949, -4.635, 3
1.847, 0.476, 0
-6.112, -2.918, 2
3.423, -5.480, 3
-4.451, -1.533, 2
-2.283, -2.688, 2
-0.388, -3.928, 2
-3.283, -3.749, 2
3.558, 5.069, 1
3.381, 5.372, 1
5.650, -3.327, 3
6.027, -4.162, 3
-5.179, -3.947, 2
3.546, 3.497, 1
1.288, 1.397, 0
3.919, 3.442, 1
3.720, 6.039, 1
3.210, 3.959, 1
3.504, 5.342, 1
5.186, -5.323, 3
3.493, -5.496, 3
-3.955, -6.893, 2
3.303, -5.621, 3
0.558, 1.843, 0
-5.249, -3.497, 2
-3.017, -1.432, 2
-4.008, -3.882, 2
4.566, 3.945, 1
2.637, 5.623, 1
3.312, -5.250, 3
-5.745, -2.622, 2
3.717, -4.557, 3
-0.296, 2.772, 0
5.394, 3.527, 1
4.430, 6.399, 1
-1.311, 2.804, 0
3.131, -3.217, 3
0.241, 1.453, 0
0.650, 3.871, 0
-7.015, -3.696, 2
0.613, 0.543, 0
5.634, 3.251, 1
-6.003, -3.963, 2
1.538, 2.910, 0
2.815, 4.875, 1
2.713, -6.283, 3
4.514, 4.839, 1
-3.951, -1.328, 2
5.539, -5.238, 3
-3.999, -1.113, 2
5.095, 4.675, 1
4.515, 3.961, 1
4.701, 4.106, 1
5.887, 4.262, 1
5.440, 4.767, 1
4.559, 2.952, 1
-4.186, -3.774, 2
5.381, 3.721, 1
-2.093, -1.240, 2
0.007, 2.029, 0
-2.875, 0.043, 2
4.480, -5.095, 3
5.077, 6.231, 1
2.088, 1.722, 0
-3.990, -4.239, 2
1.907, 4.679, 1
3.993, 3.464, 1
3.820, -4.363, 3
3.459, 5.239, 1
4.353, -5.756, 3
2.823, 1.768, 0
-7.109, -4.144, 2
4.224, 5.447, 1
4.282, -6.444, 3
4.028, -4.432, 3
3.835, -5.239, 3
5.667, -6.545, 3
5.173, 3.985, 1
0.927, 0.964, 0
1.199, 0.439, 0
4.956, -7.142, 3
-5.052, -2.524, 2
0.646, 3.090, 0
5.616, -5.701, 3
5.400, -3.748, 3
-1.704, 2.737, 0
0.988, 2.650, 0
-4.620, -4.546, 2
1.029, 2.397, 0
3.963, 4.511, 1
6.435, 4.328, 1
3.936, 5.497, 1
1.709, -3.165, 3
5.064, 4.687, 1
4.650, -4.962, 3
3.644, -6.738, 3
-1.266, 2.047, 0
0.743, 5.018, 0
2.381, 0.791, 0
-5.542, -3.763, 2
0.964, 2.871, 0
-3.904, -4.613, 2
4.255, 2.731, 1
-2.789, -4.826, 2
4.617, 4.078, 1
-5.107, -3.741, 2
-2.177, -2.167, 2
5.350, 4.682, 1
0.530, 2.933, 0
-5.905, -3.072, 2
4.469, 5.489, 1
3.956, 4.767, 1
4.035, 5.198, 1
-5.008, -2.535, 2
1.145, 0.965, 0
3.553, 7.147, 1
5.166, -6.016, 3
-4.774, -2.441, 2
4.015, 3.828, 1
0.066, 2.120, 0
-5.159, -1.841, 2
5.018, -5.165, 3
4.120, 4.161, 1
2.318, 1.828, 0
-5.247, -5.000, 2
3.566, -2.077, 3
3.504, 4.894, 1
4.233, 5.275, 1
4.561, 3.714, 1
2.371, -6.540, 3
5.161, 3.887, 1
0.445, 0.055, 0
-7.379, -3.561, 2
3.295, -7.112, 3
2.082, 1.889, 0
3.215, -6.597, 3
4.220, 5.692, 1
3.217, 4.909, 1
3.134, 4.902, 1
4.359, 4.520, 1
3.729, 6.141, 1
0.424, 1.541, 0
4.688, 5.212, 1
4.367, 2.245, 0
0.911, 1.789, 0
1.852, 3.830, 0
1.428, 4.802, 1
0.866, 1.453, 0
4.139, -6.363, 3
-4.355, -3.550, 2
2.374, 4.132, 1
3.170, 5.415, 1
4.522, 4.752, 1
2.330, -7.232, 3
-4.405, -4.354, 2
4.376, -4.374, 3
5.260, -4.035, 3
-4.133, -2.739, 2
3.275, -3.778, 3
1.070, 0.441, 0
-3.220, -4.114, 2
-4.398, -3.331, 2
3.454, 6.841, 1
3.235, 4.009, 1
1.061, 0.345, 0
-3.621, -3.967, 2
5.089, 5.645, 1
1.356, 0.520, 0
-3.861, -2.004, 2
2.596, 4.056, 1
-3.794, -3.134, 2
4.486, -4.841, 3
2.887, 2.060, 0
5.159, 4.030, 1
-3.576, -7.237, 2
5.087, -8.403, 3
4.572, 5.192, 1
3.488, -2.694, 3
5.935, 6.297, 1
-5.547, -2.825, 2
-3.699, -2.939, 2
5.482, 4.594, 1
2.208, -6.396, 3
3.515, -2.906, 3
-4.609, -2.746, 2
1.680, 2.434, 0
1.171, 2.214, 0
5.146, 5.308, 1
-5.047, -4.375, 2
3.261, 5.804, 1
3.122, 5.663, 1
-6.026, -1.518, 2
2.328, -2.699, 3
